,purchase_price,sale_price,purchase_q_since_1970,sale_q_since_1970
5847,520,710,26,53
5848,325,330,26,29
5849,503,1239,8,47
5850,373,462,7,14
5851,329,405,6,13
5852,516,589,5,9
5853,589,1335,9,46
5854,325,560,5,25
5855,560,750,25,55
5856,495,1150,7,32
5857,230,365,17,37
5858,489,530,34,36
5859,854,1501,26,55
5860,360,380,30,33
5861,743,990,25,29
5862,325,358,9,31
5863,245,246,26,28
5864,455,710,28,35
5865,854,1225,26,33
5866,575,770,22,48
5867,250,373,2,18
5868,240,290,26,39
5869,796,1075,35,63
5870,539,660,11,16
5871,526,600,25,31
5872,215,270,18,36
5873,390,530,30,37
5874,275,700,25,58
5875,335,550,17,34
5876,372,519,1,20
5877,320,700,13,31
5878,583,680,33,56
5879,680,775,56,57
5880,299,390,27,35
5881,180,530,5,57
5882,620,1040,14,53
5883,1410,1440,43,50
5884,290,575,6,31
5885,305,349,9,13
5886,349,680,13,37
5887,427,454,22,25
5888,487,912,5,30
5889,395,615,19,35
5890,655,810,29,37
5891,320,510,2,19
5892,397,620,20,51
5893,487,1230,5,38
5894,632,635,58,59
5895,210,465,18,55
5896,607,1070,18,51
5897,420,600,15,27
5898,600,695,27,36
5899,408,990,6,53
5900,295,330,10,14
5901,330,710,14,51
5902,549,760,11,22
5903,689,717,57,63
5904,285,458,22,33
5905,400,2150,2,44
5906,799,1125,30,62
5907,382,840,10,35
5908,435,510,20,25
5909,353,353,31,32
5910,190,320,19,39
5911,248,690,7,45
5912,549,549,63,64
5913,495,1040,6,28
5914,630,660,14,18
5915,420,720,33,53
5916,390,700,19,40
5917,382,455,15,23
5918,423,740,5,30
5919,340,465,10,25
5920,275,609,11,40
5921,350,410,11,24
5922,1235,1250,39,47
5923,685,820,30,47
5924,250,325,2,13
5925,325,520,13,30
5926,265,339,22,31
5927,520,845,2,27
5928,415,460,21,25
5929,610,720,5,15
5930,310,520,31,55
5931,690,850,31,37
5932,285,395,11,31
5933,260,385,4,15
5934,419,480,36,43
5935,280,330,3,10
5936,940,1663,28,54
5937,180,180,24,32
5938,460,510,18,25
5939,835,1238,23,37
5940,385,610,5,25
5941,750,1255,26,61
5942,740,850,31,49
5943,180,340,22,57
5944,295,599,3,54
5945,390,663,9,29
5946,599,599,59,63
5947,814,859,24,26
5948,815,985,36,53
5949,530,665,12,20
5950,665,1165,20,35
5951,777,790,33,46
5952,215,355,2,26
5953,1416,1540,59,63
5954,725,920,28,35
5955,585,1355,12,64
5956,325,790,8,43
5957,419,565,18,27
5958,1219,1400,33,39
5959,805,869,42,56
5960,1080,1235,36,52
5961,470,690,5,22
5962,280,325,35,51
5963,325,450,51,56
5964,429,635,23,34
5965,422,424,1,3
5966,375,492,14,25
5967,550,635,25,28
5968,635,640,30,31
5969,415,415,5,9
5970,410,460,14,18
5971,360,675,22,43
5972,545,660,25,26
5973,660,685,26,29
5974,285,490,12,32
5975,440,760,29,46
5976,210,415,7,33
5977,295,430,24,32
5978,730,950,29,35
5979,870,1175,36,55
5980,430,690,22,55
5981,950,1035,62,66
5982,490,526,18,19
5983,1184,1294,61,63
5984,334,445,14,23
5985,281,395,14,27
5986,568,655,23,27
5987,1065,1278,31,34
5988,332,820,5,36
5989,290,470,8,28
5990,302,692,8,42
5991,320,420,30,54
5992,370,500,13,25
5993,425,675,21,35
5994,535,670,14,28
5995,318,435,13,28
5996,170,525,11,55
5997,550,1205,7,32
5998,422,470,2,9
5999,1071,1170,35,55
6000,515,1355,6,55
6001,530,610,35,55
6002,685,830,29,45
6003,830,850,45,50
6004,375,650,27,44
6005,530,855,10,26
6006,1102,1502,32,45
6007,240,729,3,63
6008,309,500,6,27
6009,329,800,2,54
6010,677,820,31,49
6011,415,515,29,33
6012,1050,1200,5,20
6013,483,1190,4,53
6014,390,499,32,40
6015,620,630,20,21
6016,475,650,27,36
6017,370,425,3,13
6018,549,566,32,33
6019,311,775,6,60
6020,700,800,35,49
6021,230,540,25,45
6022,470,1000,2,38
6023,1380,2525,18,56
6024,363,875,5,46
6025,555,740,47,53
6026,340,395,18,21
6027,1050,1130,63,65
6028,570,775,23,36
6029,205,325,13,29
6030,280,420,13,26
6031,620,645,35,40
6032,435,570,21,26
6033,255,655,3,39
6034,725,795,32,50
6035,200,239,28,31
6036,536,655,33,47
6037,430,709,21,45
6038,397,435,10,14
6039,435,470,14,19
6040,319,455,7,22
6041,245,425,13,31
6042,328,535,6,25
6043,220,470,6,37
6044,510,630,34,64
6045,310,540,29,40
6046,294,375,18,22
6047,220,565,23,54
6048,224,380,3,32
6049,1433,1590,63,65
6050,600,705,22,27
6051,320,475,11,26
6052,370,370,6,8
6053,370,470,8,19
6054,470,550,19,23
6055,550,715,23,31
6056,455,520,17,22
6057,715,1650,18,54
6058,440,723,22,46
6059,750,760,38,46
6060,319,480,29,40
6061,440,670,24,54
6062,405,540,33,37
6063,457,561,6,18
6064,310,625,13,39
6065,395,485,11,13
6066,460,1020,13,43
6067,1100,1265,43,53
6068,443,720,1,23
6069,950,1200,30,38
6070,459,462,12,13
6071,1145,1325,53,64
6072,514,730,29,38
6073,560,690,21,26
6074,550,979,18,35
6075,269,350,23,32
6076,410,565,17,30
6077,245,589,7,36
6078,575,930,25,61
6079,620,1245,27,54
6080,335,790,13,49
6081,395,635,28,47
6082,435,600,10,17
6083,600,800,17,31
6084,650,870,32,55
6085,1225,1800,30,54
6086,460,460,58,60
6087,686,720,38,53
6088,309,485,15,30
6089,1000,1490,15,27
6090,467,540,32,36
6091,430,869,14,57
6092,390,460,33,52
6093,1257,1380,43,48
6094,175,530,15,27
6095,320,335,21,26
6096,411,411,9,10
6097,465,830,11,37
6098,810,1365,13,36
6099,1150,1625,32,39
6100,645,690,18,21
6101,690,1300,21,45
6102,665,1665,13,38
6103,595,1280,12,47
6104,260,540,6,31
6105,540,619,31,36
6106,510,950,15,35
6107,320,418,9,17
6108,341,435,6,13
6109,280,295,2,7
6110,555,780,31,54
6111,1000,1200,38,48
6112,225,430,7,31
6113,700,980,28,32
6114,580,835,31,61
6115,370,575,6,15
6116,1190,1400,29,42
6117,353,710,7,43
6118,400,730,23,38
6119,735,870,36,39
6120,335,410,11,19
6121,330,490,5,17
6122,480,560,4,7
6123,460,460,11,17
6124,365,375,39,49
6125,300,303,3,4
6126,303,580,4,29
6127,175,229,11,29
6128,777,940,13,22
6129,530,679,29,38
6130,379,379,9,10
6131,300,325,33,38
6132,490,1210,13,42
6133,250,470,29,38
6134,325,519,4,28
6135,320,600,22,46
6136,440,950,14,46
6137,350,565,19,46
6138,151,250,24,45
6139,429,470,13,24
6140,376,480,9,31
6141,1109,1109,35,36
6142,1102,1225,53,57
6143,355,535,14,30
6144,550,1020,17,53
6145,707,828,35,43
6146,285,497,17,34
6147,160,419,4,61
6148,260,420,31,57
6149,280,370,6,18
6150,280,499,27,36
6151,260,265,1,20
6152,260,500,31,39
6153,285,715,5,53
6154,1275,1540,31,51
6155,610,660,18,28
6156,345,680,8,30
6157,760,1360,24,46
6158,730,990,19,26
6159,340,820,9,63
6160,1100,1160,9,14
6161,799,820,47,54
6162,275,439,9,28
6163,750,775,39,50
6164,481,640,7,19
6165,275,480,13,35
6166,200,300,39,46
6167,270,430,14,36
6168,283,515,4,25
6169,401,799,9,43
6170,440,685,25,54
6171,629,735,22,29
6172,740,1095,27,54
6173,305,580,24,44
6174,470,880,13,55
6175,350,439,33,53
6176,413,515,28,32
6177,990,1050,33,54
6178,599,660,26,29
6179,510,560,32,33
6180,420,570,29,51
6181,265,405,2,22
6182,359,494,10,23
6183,580,800,26,46
6184,384,610,9,25
6185,535,900,22,43
6186,260,435,10,26
6187,220,245,12,26
6188,422,560,9,20
6189,420,430,21,22
6190,1220,1825,26,34
6191,1825,2080,34,47
6192,555,619,36,40
6193,360,725,15,45
6194,573,600,60,63
6195,407,585,30,45
6196,455,740,23,40
6197,640,900,26,37
6198,420,730,14,47
6199,499,870,23,39
6200,371,400,4,19
6201,520,550,31,32
6202,356,600,6,26
6203,370,670,8,29
6204,282,340,13,31
6205,385,553,3,18
6206,229,560,12,39
6207,430,579,23,31
6208,325,570,3,26
6209,2300,2790,56,62
6210,605,770,28,48
6211,469,630,19,28
6212,210,210,28,31
6213,380,490,9,14
6214,325,335,17,27
6215,735,735,34,35
6216,855,1200,26,38
6217,349,440,4,16
6218,400,440,28,35
6219,430,710,18,35
6220,335,460,6,19
6221,430,815,11,33
6222,304,340,18,27
6223,269,320,17,30
6224,320,425,30,34
6225,500,699,29,54
6226,450,750,21,43
6227,318,400,5,13
6228,400,445,13,14
6229,445,605,14,30
6230,430,530,23,29
6231,410,599,15,32
6232,190,345,23,46
6233,430,435,21,28
6234,435,535,28,32
6235,165,325,8,31
6236,525,829,4,23
6237,299,640,13,43
6238,389,433,18,22
6239,655,849,32,57
6240,400,539,14,27
6241,285,407,9,22
6242,235,450,4,29
6243,387,419,8,13
6244,210,262,18,27
6245,625,1380,6,31
6246,430,725,23,54
6247,192,230,3,23
6248,433,549,21,31
6249,485,570,6,16
6250,800,1625,14,46
6251,300,320,46,48
6252,460,603,32,51
6253,374,426,18,21
6254,426,430,21,22
6255,400,450,19,22
6256,308,520,6,29
6257,615,860,25,40
6258,392,570,8,18
6259,360,670,5,25
6260,369,515,32,54
6261,394,770,7,31
6262,433,545,21,31
6263,270,455,26,38
6264,840,1000,37,54
6265,443,755,21,39
6266,250,285,24,29
6267,680,1350,28,62
6268,409,520,19,34
6269,320,880,6,61
6270,307,560,4,27
6271,310,449,5,18
6272,449,569,22,29
6273,674,1100,30,39
6274,320,400,5,13
6275,620,1240,13,32
6276,313,429,9,26
6277,435,630,27,35
6278,1150,1150,56,60
6279,435,480,27,31
6280,340,357,10,13
6281,274,569,2,30
6282,600,900,23,51
6283,1100,1130,39,55
6284,390,645,18,38
6285,300,525,8,30
6286,309,710,4,33
6287,364,499,26,34
6288,610,815,30,54
6289,382,459,31,37
6290,358,700,8,32
6291,347,790,2,39
6292,330,480,30,33
6293,414,523,11,17
6294,496,675,19,30
6295,325,680,8,31
6296,680,785,31,47
6297,579,875,24,34
6298,610,1373,3,44
6299,920,930,33,37
6300,420,445,14,18
6301,880,991,43,56
6302,274,475,4,28
6303,475,675,28,35
6304,500,530,7,9
6305,475,530,14,22
6306,664,1070,21,37
6307,510,620,9,18
6308,580,880,27,63
6309,623,1010,19,39
6310,327,750,6,37
6311,260,298,31,59
6312,345,381,4,9
6313,475,575,24,33
6314,460,495,33,62
6315,410,500,8,14
6316,500,659,14,22
6317,345,445,5,18
6318,228,410,4,10
6319,1170,1485,31,38
6320,500,750,22,43
6321,297,355,13,21
6322,355,429,21,28
6323,390,790,9,43
6324,436,730,11,29
6325,730,800,29,32
6326,255,259,2,3
6327,453,870,8,33
6328,395,465,26,28
6329,405,850,9,30
6330,700,850,28,34
6331,410,770,6,32
6332,335,410,5,12
6333,369,563,27,57
6334,200,215,5,28
6335,622,755,6,21
6336,925,1100,17,25
6337,395,730,8,31
6338,450,459,26,29
6339,800,1539,28,66
6340,1123,1204,53,54
6341,410,550,15,29
6342,643,770,33,43
6343,295,447,8,25
6344,310,369,26,27
6345,275,435,19,32
6346,1475,2200,30,48
6347,500,670,27,35
6348,1680,1700,39,47
6349,150,203,4,35
6350,816,850,38,45
6351,340,560,7,64
6352,520,1290,2,48
6353,380,455,8,18
6354,205,887,15,58
6355,250,260,31,32
6356,215,315,30,44
6357,205,239,20,28
6358,274,350,2,36
6359,500,1570,8,62
6360,355,700,24,34
6361,628,950,1,17
6362,660,1019,30,53
6363,339,439,32,38
6364,340,520,29,47
6365,455,1115,4,38
6366,310,850,30,40
6367,325,501,28,44
6368,383,470,4,11
6369,470,735,11,27
6370,479,489,31,33
6371,252,275,29,31
6372,189,300,33,38
6373,445,740,22,53
6374,365,870,7,43
6375,399,569,28,37
6376,405,550,13,26
6377,409,460,36,57
6378,440,475,12,24
6379,475,860,24,53
6380,403,438,12,13
6381,1123,2000,23,38
6382,585,585,34,39
6383,950,1100,39,53
6384,395,715,22,34
6385,400,475,7,12
6386,385,460,7,19
6387,439,700,27,63
6388,1310,1333,63,65
6389,320,690,7,40
6390,299,415,9,22
6391,365,565,8,28
6392,1250,1290,43,46
6393,225,320,3,25
6394,330,440,27,35
6395,313,500,8,25
6396,360,390,17,20
6397,390,550,20,30
6398,640,1600,9,53
6399,606,940,15,33
6400,387,566,12,25
6401,566,797,25,48
6402,323,710,3,31
6403,540,625,34,54
6404,287,375,29,32
6405,287,705,12,54
6406,600,785,29,34
6407,724,850,56,62
6408,511,619,29,31
6409,409,649,25,38
6410,330,430,28,35
6411,130,170,21,30
6412,170,330,4,35
6413,370,452,17,31
6414,660,1050,29,62
6415,850,1320,30,53
6416,375,475,6,13
6417,342,560,4,40
6418,163,350,25,58
6419,408,429,33,36
6420,595,595,35,36
6421,315,685,9,39
6422,330,479,23,39
6423,420,465,22,26
6424,545,760,31,46
6425,645,655,27,30
6426,440,515,1,11
6427,510,679,24,29
6428,310,329,5,9
6429,385,795,7,35
6430,635,835,22,30
6431,210,399,9,39
6432,360,730,17,36
6433,455,633,9,21
6434,995,1380,28,35
6435,864,1075,33,62
6436,1282,1475,61,63
6437,780,1060,31,33
6438,775,1800,19,49
6439,279,350,24,27
6440,244,244,12,13
6441,255,650,6,35
6442,805,840,34,43
6443,370,530,10,24
6444,411,1005,18,38
6445,485,555,23,28
6446,520,625,18,25
6447,305,685,6,31
6448,440,539,10,17
6449,357,720,6,30
6450,625,707,35,57
6451,330,420,9,14
6452,570,590,37,46
6453,380,400,8,12
6454,580,680,20,27
6455,420,530,11,17
6456,410,930,22,45
6457,200,360,21,38
6458,310,385,23,31
6459,895,1105,35,55
6460,770,1545,11,31
6461,1545,2273,31,62
6462,260,450,17,54
6463,700,1250,26,60
6464,200,400,29,47
6465,420,470,16,20
6466,347,394,8,13
6467,400,445,6,10
6468,420,550,29,31
6469,415,645,24,57
6470,433,655,26,31
6471,410,475,22,29
6472,475,685,29,44
6473,301,595,4,28
6474,700,830,35,54
6475,295,490,28,56
6476,290,539,34,57
6477,295,439,22,35
6478,530,850,27,63
6479,700,706,26,27
6480,830,889,36,46
6481,279,315,13,22
6482,425,545,29,39
6483,545,589,39,51
6484,370,700,19,54
6485,710,820,26,29
6486,820,999,29,43
6487,360,860,3,54
6488,250,250,35,36
6489,350,350,31,32
6490,445,450,63,64
6491,370,565,6,28
6492,452,825,8,27
6493,385,700,13,31
6494,950,1700,26,46
6495,620,719,22,31
6496,460,665,17,33
6497,1000,1250,17,25
6498,622,720,37,48
6499,585,790,26,46
6500,569,619,43,46
6501,230,347,10,23
6502,790,795,23,24
6503,285,470,18,42
6504,349,395,8,13
6505,655,655,57,59
6506,263,615,14,54
6507,260,300,8,19
6508,320,590,14,45
6509,675,1000,12,26
6510,570,570,28,30
6511,380,469,22,30
6512,280,420,28,38
6513,700,770,52,61
6514,335,380,29,34
6515,657,659,45,46
6516,355,480,5,17
6517,480,565,17,24
6518,700,800,31,52
6519,210,255,17,29
6520,255,499,29,55
6521,715,880,30,50
6522,279,605,14,64
6523,445,545,32,38
6524,544,970,14,42
6525,325,465,9,26
6526,640,1860,3,46
6527,760,845,34,62
6528,242,469,14,35
6529,289,390,10,29
6530,340,945,4,56
6531,490,545,19,23
6532,480,830,14,32
6533,700,705,35,37
6534,240,449,10,38
6535,500,1140,14,63
6536,265,290,22,29
6537,550,655,31,46
6538,530,610,27,32
6539,235,250,14,20
6540,575,730,26,39
6541,730,759,39,46
6542,400,416,12,13
6543,245,500,13,38
6544,388,1050,6,62
6545,672,850,8,18
6546,610,850,25,31
6547,675,965,30,57
6548,279,300,17,23
6549,308,395,6,30
6550,395,550,30,39
6551,535,695,22,43
6552,621,720,21,29
6553,271,410,21,33
6554,395,565,31,37
6555,575,580,37,47
6556,415,525,26,33
6557,370,650,7,27
6558,650,665,27,29
6559,340,405,5,13
6560,559,630,37,61
6561,225,490,8,45
6562,490,540,45,55
6563,260,544,9,33
6564,694,1033,26,36
6565,677,745,33,37
6566,259,319,21,30
6567,315,755,1,37
6568,370,380,29,30
6569,265,297,17,27
6570,1100,1205,33,60
6571,420,649,5,21
6572,525,595,31,33
6573,360,525,17,30
6574,985,1080,28,32
6575,270,480,11,30
6576,550,877,21,43
6577,240,660,32,57
6578,350,630,7,57
6579,239,299,15,16
6580,299,299,16,18
6581,640,757,19,26
6582,535,550,36,50
6583,410,675,18,36
6584,675,720,36,61
6585,440,868,13,50
6586,630,860,23,49
6587,490,780,27,54
6588,1030,1900,23,38
6589,639,725,31,33
6590,290,343,3,7
6591,450,550,6,13
6592,550,665,13,22
6593,665,1160,22,38
6594,195,260,17,27
6595,319,420,31,58
6596,825,1000,37,52
6597,327,373,27,32
6598,421,585,9,22
6599,488,1015,11,36
6600,450,499,42,53
6601,170,293,17,33
6602,485,510,14,18
6603,459,600,31,44
6604,505,1250,7,38
6605,356,470,9,18
6606,265,270,24,29
6607,300,355,4,10
6608,355,525,10,19
6609,220,539,5,34
6610,270,350,30,39
6611,280,600,20,38
6612,530,770,15,27
6613,1109,1200,37,47
6614,320,620,5,35
6615,475,490,3,6
6616,225,629,3,59
6617,710,1250,7,32
6618,760,780,30,31
6619,106,375,2,11
6620,499,579,18,24
6621,570,745,22,31
6622,600,1070,18,34
6623,280,629,13,62
6624,389,550,30,51
6625,685,720,29,59
6626,250,329,14,23
6627,325,385,3,12
6628,480,750,18,31
6629,790,960,27,30
6630,305,462,9,26
6631,739,1130,25,43
6632,742,1080,28,57
6633,400,470,7,14
6634,499,935,23,50
6635,360,775,14,43
6636,577,1070,17,49
6637,250,335,17,31
6638,565,640,33,45
6639,860,1040,33,53
6640,285,305,13,15
6641,350,490,15,26
6642,655,1090,21,42
6643,285,540,29,57
6644,455,1290,1,54
6645,262,399,14,17
6646,300,651,12,43
6647,450,750,20,48
6648,355,810,19,25
6649,395,683,1,26
6650,304,840,4,55
6651,265,375,6,17
6652,560,720,21,30
6653,720,1300,30,61
6654,933,1090,33,37
6655,359,455,8,15
6656,432,760,15,35
6657,760,780,35,50
6658,360,415,7,14
6659,640,679,21,23
6660,545,615,36,62
6661,280,312,30,32
6662,600,650,58,64
6663,355,430,21,28
6664,520,570,23,30
6665,780,840,34,47
6666,495,740,24,46
6667,630,975,30,64
6668,469,805,24,54
6669,530,660,14,25
6670,260,403,24,53
6671,520,665,29,33
6672,448,500,27,31
6673,475,555,21,30
6674,503,677,13,22
6675,520,550,30,33
6676,285,470,25,43
6677,275,570,9,32
6678,477,505,58,63
6679,315,439,13,26
6680,570,1000,18,49
6681,344,587,11,29
6682,370,450,10,14
6683,430,650,14,32
6684,335,335,63,64
6685,460,540,23,28
6686,385,600,6,27
6687,495,575,14,22
6688,320,545,14,32
6689,150,260,5,48
6690,680,852,31,60
6691,649,1040,19,49
6692,1290,2590,25,56
6693,310,485,29,45
6694,425,595,20,34
6695,430,593,29,63
6696,230,264,13,21
6697,460,950,10,42
6698,315,320,27,29
6699,320,480,29,36
6700,465,700,10,27
6701,320,375,26,55
6702,310,427,34,39
6703,225,580,6,57
6704,480,600,33,43
6705,395,395,21,23
6706,469,790,24,54
6707,700,775,18,25
6708,410,469,32,53
6709,310,370,27,31
6710,850,1270,34,62
6711,787,1300,25,46
6712,692,1600,18,45
6713,428,950,7,36
6714,200,250,34,52
6715,575,610,18,23
6716,303,500,9,26
6717,500,537,26,29
6718,3200,3250,43,53
6719,240,340,38,44
6720,440,520,45,48
6721,355,370,36,37
6722,340,450,13,20
6723,434,849,10,46
6724,245,352,1,5
6725,485,800,10,31
6726,269,344,18,25
6727,745,1019,32,47
6728,580,630,33,55
6729,250,399,31,33
6730,330,330,10,11
6731,700,740,25,28
6732,409,660,18,32
6733,250,335,28,36
6734,350,460,23,30
6735,460,700,30,44
6736,385,475,12,21
6737,168,300,6,35
6738,417,605,20,34
6739,230,550,7,39
6740,300,370,8,33
6741,232,300,13,29
6742,559,638,20,29
6743,275,395,12,25
6744,295,450,7,22
6745,500,687,17,29
6746,335,570,10,31
6747,635,980,18,44
6748,325,620,7,37
6749,260,365,23,32
6750,350,785,5,31
6751,175,225,10,29
6752,730,1180,15,42
6753,188,425,6,39
6754,430,890,18,54
6755,500,925,22,51
6756,529,650,35,37
6757,595,595,28,29
6758,329,439,24,34
6759,251,490,13,34
6760,690,815,30,46
6761,559,720,31,46
6762,400,410,49,51
6763,360,415,34,37
6764,988,1460,33,63
6765,685,965,22,31
6766,880,990,33,38
6767,309,425,30,44
6768,735,1140,28,61
6769,274,557,9,43
6770,612,740,27,33
6771,270,460,6,36
6772,435,435,56,60
6773,280,410,28,33
6774,590,815,27,35
6775,285,343,26,32
6776,425,746,3,25
6777,495,1260,14,55
6778,329,510,24,39
6779,495,500,37,38
6780,775,960,24,33
6781,649,670,36,37
6782,675,730,39,47
6783,665,745,31,43
6784,400,420,33,35
6785,235,300,18,36
6786,300,400,36,38
6787,595,624,24,25
6788,624,830,25,34
6789,585,870,23,33
6790,488,580,36,38
6791,380,720,18,62
6792,350,375,32,33
6793,525,572,6,11
6794,445,569,23,28
6795,360,590,13,26
6796,245,299,16,18
6797,299,320,18,20
6798,453,620,1,14
6799,435,530,31,37
6800,743,763,45,50
6801,1280,1315,36,46
6802,1315,1400,46,51
6803,545,930,22,52
6804,547,895,12,23
6805,895,1130,23,35
6806,749,920,28,36
6807,680,780,38,46
6808,295,425,24,36
6809,639,900,16,29
6810,2010,2250,40,47
6811,427,555,13,26
6812,750,1120,31,62
6813,823,963,32,37
6814,269,490,26,57
6815,1786,1795,63,64
6816,555,750,32,61
6817,650,1225,15,34
6818,310,400,32,51
6819,245,470,24,54
6820,347,389,11,14
6821,310,335,28,32
6822,720,729,33,58
6823,819,1020,43,62
6824,560,650,26,30
6825,650,810,30,34
6826,1180,1600,30,63
6827,670,995,26,47
6828,959,1138,33,38
6829,405,545,10,24
6830,545,750,24,43
6831,255,340,21,31
6832,670,800,29,49
6833,440,629,17,30
6834,724,840,18,27
6835,430,435,37,49
6836,1012,1079,33,38
6837,501,501,17,18
6838,665,1510,10,46
6839,390,510,9,23
6840,874,900,34,45
6841,751,758,34,36
6842,423,630,12,26
6843,225,450,11,30
6844,270,515,5,22
6845,136,136,13,25
6846,240,440,2,27
6847,300,400,14,17
6848,705,760,26,64
6849,730,1150,30,58
6850,415,425,6,10
6851,495,670,23,39
6852,385,608,26,58
6853,535,575,13,19
6854,680,960,34,54
6855,374,525,14,26
6856,173,425,2,33
6857,455,509,34,53
6858,825,949,31,47
6859,392,617,27,61
6860,445,675,26,43
6861,300,450,32,38
6862,335,548,26,39
6863,900,1325,25,31
6864,580,900,23,35
6865,890,1180,32,63
6866,984,984,33,37
6867,677,725,25,29
6868,630,680,26,28
6869,330,440,10,22
6870,470,725,31,59
6871,600,690,34,35
6872,465,665,25,43
6873,939,950,54,56
6874,419,752,7,30
6875,340,380,23,28
6876,380,385,28,29
6877,550,875,9,26
6878,875,1279,26,39
6879,870,920,37,43
6880,920,930,43,49
6881,770,800,50,54
6882,336,415,30,39
6883,469,825,10,29
6884,520,775,10,28
6885,420,717,9,18
6886,740,895,54,63
6887,600,1165,22,54
6888,480,610,20,27
6889,455,510,18,25
6890,364,625,11,32
6891,220,300,46,54
6892,590,725,30,38
6893,325,475,28,44
6894,315,790,7,35
6895,375,500,30,46
6896,350,385,6,14
6897,390,480,13,31
6898,850,1170,34,55
6899,535,750,27,40
6900,576,940,5,23
6901,349,420,30,56
6902,1270,3500,5,45
6903,190,360,4,28
6904,340,470,32,37
6905,506,639,31,38
6906,660,690,33,54
6907,235,560,5,59
6908,745,1000,25,30
6909,378,565,13,26
6910,690,727,38,45
6911,340,530,17,32
6912,280,460,53,57
6913,610,800,26,47
6914,520,685,22,31
6915,375,600,10,31
6916,600,660,18,23
6917,935,1050,32,44
6918,725,1080,26,49
6919,296,345,14,27
6920,234,234,13,14
6921,234,479,14,34
6922,495,530,31,34
6923,870,1165,31,37
6924,570,790,13,26
6925,210,230,29,36
6926,365,840,1,57
6927,668,1050,25,33
6928,289,335,29,32
6929,342,715,17,62
6930,320,445,11,28
6931,390,645,17,34
6932,390,815,13,47
6933,305,350,34,36
6934,630,845,28,33
6935,320,588,5,31
6936,563,795,15,32
6937,470,560,29,33
6938,595,1150,21,43
6939,173,430,8,58
6940,695,1190,26,35
6941,376,589,23,34
6942,1125,1340,53,64
6943,235,300,23,54
6944,620,850,25,30
6945,320,795,3,57
6946,710,990,25,37
6947,360,615,25,57
6948,523,734,28,38
6949,515,700,10,23
6950,700,1230,23,37
6951,475,620,1,14
6952,504,726,27,58
6953,361,515,8,34
6954,532,560,19,24
6955,185,395,34,37
6956,395,535,37,46
6957,440,629,11,25
6958,649,1020,21,46
6959,379,554,14,31
6960,333,465,8,24
6961,300,425,8,25
6962,275,295,1,5
6963,1450,1470,47,49
6964,625,1035,19,37
6965,229,230,26,32
6966,370,579,24,34
6967,500,775,26,42
6968,245,261,14,22
6969,650,650,57,59
6970,250,290,36,37
6971,460,570,35,36
6972,600,1535,22,66
6973,1071,1190,31,35
6974,1008,1140,34,37
6975,650,915,19,30
6976,915,1315,30,46
6977,245,339,13,30
6978,230,320,10,33
6979,399,561,30,39
6980,806,1040,30,55
6981,800,994,34,65
6982,940,1589,26,54
6983,393,529,7,14
6984,400,650,26,35
6985,440,489,30,37
6986,316,343,7,10
6987,359,426,6,7
6988,1035,1120,33,43
6989,480,480,31,32
6990,540,585,2,10
6991,195,730,35,58
6992,460,780,6,27
6993,189,235,30,44
6994,395,590,35,38
6995,493,790,27,63
6996,639,839,13,17
6997,275,460,22,53
6998,380,529,31,57
6999,450,525,36,53
7000,570,889,27,61
7001,553,910,16,35
7002,195,335,9,51
7003,480,599,30,36
7004,319,390,31,37
7005,500,873,18,43
7006,315,480,38,53
7007,522,690,26,33
7008,590,810,9,23
7009,570,620,34,37
7010,560,630,10,14
7011,799,799,63,64
7012,525,989,26,64
7013,650,850,30,51
7014,1425,1860,34,54
7015,280,390,26,33
7016,740,760,63,64
7017,250,375,3,27
7018,585,585,20,21
7019,760,940,32,39
7020,260,310,13,31
7021,165,475,35,55
7022,345,560,14,29
7023,483,950,13,38
7024,950,989,38,51
7025,564,649,35,57
7026,600,1275,12,46
7027,235,340,2,33
7028,500,680,8,24
7029,158,219,1,26
7030,250,435,35,38
7031,319,519,19,33
7032,650,905,27,43
7033,190,280,30,35
7034,520,680,31,55
7035,380,700,9,29
7036,710,1080,30,38
7037,305,550,19,38
7038,649,1235,15,47
7039,526,645,38,53
7040,245,300,31,39
7041,705,720,36,38
7042,499,675,13,27
7043,494,799,22,37
7044,380,580,18,31
7045,439,450,15,21
7046,560,855,26,36
7047,300,519,22,34
7048,753,1125,31,55
7049,595,695,31,49
7050,265,325,31,36
7051,575,759,28,50
7052,310,447,32,37
7053,260,460,24,60
7054,750,1100,26,48
7055,535,825,29,54
7056,353,493,25,33
7057,382,550,27,42
7058,685,900,28,47
7059,430,459,18,26
7060,509,810,23,36
7061,520,855,21,34
7062,315,605,6,39
7063,377,465,29,32
7064,465,475,32,54
7065,1050,1130,34,46
7066,1095,1280,19,27
7067,320,575,8,33
7068,600,824,30,55
7069,535,609,11,18
7070,287,484,25,45
7071,515,780,26,35
7072,289,349,25,31
7073,1260,1400,42,53
7074,450,750,20,51
7075,390,505,6,17
7076,770,1179,24,43
7077,395,755,23,52
7078,235,425,6,30
7079,560,679,16,26
7080,640,640,63,64
7081,645,915,24,33
7082,400,629,15,31
7083,540,721,30,35
7084,721,890,35,64
7085,880,930,32,51
7086,580,650,37,47
7087,435,634,27,36
7088,659,750,34,62
7089,750,750,62,63
7090,627,890,22,45
7091,560,715,31,54
7092,750,769,42,43
7093,571,1140,26,61
